Filename,newname_6,newname_4
header_input.csv,0.00062321580480784,0.0011608018539846
header_input.csv,0.00060601334553212,0.0011407095007598
header_input.csv,0.00058870879001915,0.001120152301155
header_input.csv,0.00057130213826895,0.0010991304880008
header_input.csv,0.00055379344848916,0.0010776439448819
header_input.csv,0.00053618266247213,0.0010556925553828
header_input.csv,0.00051833997713402,0.0010334396502003
header_input.csv,0.00050008273683488,0.0010113096795976
header_input.csv,0.00048182424507104,0.00098889856599271
header_input.csv,0.00046356441453099,0.00096620625117794
header_input.csv,0.00044530330342241,0.00094323273515329
header_input.csv,0.00042704091174528,0.0009199779597111
header_input.csv,0.00040896335849538,0.00089650508016348
header_input.csv,0.00039200147148222,0.00087315222481266
header_input.csv,0.00037498446181417,0.00084954063640907
header_input.csv,0.00035791235859506,0.00082567025674507
header_input.csv,0.00034078513272107,0.00080154108582065
header_input.csv,0.00032360281329602,0.00077715318184346
header_input.csv,0.00030636537121609,0.00075250654481351
